project,access_mode,avg_top_1_share,avg_top_10_share,avg_top_100_share,max_top_1_share,max_top_10_share,max_top_100_share
commons,mobile,0.02357880822690926,0.05650739339069529,0.13262985123441215,0.032748202708066866,0.07949879547279587,0.17101256041575127
vi,mobile,0.021919642104600377,0.06424094062712654,0.12685996151067802,0.04512507106310404,0.12411989539328103,0.2007644337155502
en,desktop,0.059832636634562744,0.08234020915825192,0.1070530426712941,0.09249817436812853,0.1212994072484623,0.15836176970112878
commons,desktop,0.023340964923275764,0.06559776295725703,0.10097049574652768,0.03214670587590641,0.08348531869181189,0.1486336491978021
wikidata,desktop,0.03610574250042838,0.06867888666460852,0.09868956199657022,0.11265626688763195,0.1535828799942357,0.1797744713045358
vi,desktop,0.02225174147874208,0.04906459669810663,0.09816590995548148,0.07146674440071904,0.13409124034397318,0.19263469853762813
en,mobile,0.015541766719192749,0.042092700233125835,0.08940865659781039,0.02396706558237893,0.08440206191143301,0.15890882768315961
