date,hour,project,access_mode,total_views,top_1_views,top_10_views,top_100_views,top_1_share,top_10_share,top_100_share
2026-01-01,0,commons,desktop,136278,2525.0,7121.0,12265.0,0.018528302440599363,0.05225348185327052,0.08999985324116878
2026-01-01,0,commons,mobile,52002,1378.0,3231.0,7040.0,0.026498980808430446,0.06213222568362755,0.13537940848428906
2026-01-01,0,en,desktop,2513773,116297.0,162987.0,238227.0,0.04626392279652936,0.06483759671219319,0.09476870027643705
2026-01-01,0,en,mobile,7932374,105006.0,482303.0,1077556.0,0.013237651174793322,0.06080184822349526,0.13584281326120023
2026-01-01,0,vi,desktop,5157,92.0,250.0,601.0,0.017839829358153966,0.04847779716889664,0.11654062439402754
2026-01-01,0,vi,mobile,17671,650.0,1455.0,2910.0,0.03678343047931639,0.08233829438062362,0.16467658876124724
2026-01-01,0,wikidata,desktop,37587,1405.0,2116.0,2888.0,0.03737994519381701,0.05629605980791231,0.07683507595711284
2026-01-01,1,commons,desktop,137330,2268.0,6864.0,12286.0,0.01651496395543581,0.049981795674652295,0.08946333648874973
2026-01-01,1,commons,mobile,56475,1443.0,3434.0,7243.0,0.02555112881806109,0.060805666223992916,0.1282514386896857
2026-01-01,1,en,desktop,2462698,123959.0,169617.0,242163.0,0.05033463299194623,0.0688744620737094,0.09833239804474604
2026-01-01,1,en,mobile,8204497,105578.0,660842.0,1303767.0,0.012868308684859048,0.08054631502699068,0.15890882768315961
2026-01-01,1,vi,desktop,7444,147.0,432.0,946.0,0.019747447608812467,0.05803331542181623,0.12708221386351423
2026-01-01,1,vi,mobile,26356,527.0,1686.0,3694.0,0.019995446957049627,0.06397025345272424,0.14015783882227956
2026-01-01,1,wikidata,desktop,33068,848.0,1526.0,2274.0,0.02564412725293335,0.04614733276883996,0.06876738841175759
2026-01-01,2,commons,desktop,125265,2249.0,6628.0,11499.0,0.017953937652177385,0.05291182692691494,0.09179738953418752
2026-01-01,2,commons,mobile,47479,1334.0,2976.0,6185.0,0.028096632195286336,0.06268034288843488,0.13026811853661618
2026-01-01,2,en,desktop,2381343,131145.0,173325.0,233560.0,0.055071864909842894,0.07278455896525617,0.09807910914135427
2026-01-01,2,en,mobile,7453298,102206.0,296128.0,737327.0,0.013712855704951015,0.0397311364713983,0.09892627397965303
2026-01-01,2,vi,desktop,10704,246.0,613.0,1338.0,0.02298206278026906,0.05726831091180867,0.125
2026-01-01,2,vi,mobile,33354,468.0,1934.0,4332.0,0.014031300593631947,0.05798404988906878,0.12987947472567007
2026-01-01,2,wikidata,desktop,35058,673.0,1632.0,2466.0,0.019196759655428147,0.04655142906041417,0.07034057846996405
2026-01-01,3,commons,desktop,117704,2573.0,6673.0,10302.0,0.021859919798817372,0.05669306055868959,0.08752463807517162
2026-01-01,3,commons,mobile,45090,1200.0,2852.0,5988.0,0.02661343978709248,0.06325127522732313,0.1328010645375915
2026-01-01,3,en,desktop,2289008,139166.0,180870.0,244908.0,0.06079751577976136,0.07901676184617966,0.10699307298183318
2026-01-01,3,en,mobile,7432829,98002.0,344726.0,855271.0,0.01318502013163494,0.046378841757290526,0.11506668591460936
2026-01-01,3,vi,desktop,17823,284.0,985.0,1900.0,0.015934466700331034,0.05526566795713404,0.10660382651629917
2026-01-01,3,vi,mobile,39675,546.0,2238.0,4876.0,0.013761814744801513,0.05640831758034026,0.12289855072463768
2026-01-01,3,wikidata,desktop,29576,899.0,1897.0,2557.0,0.03039626724371112,0.06413984311604003,0.08645523397349202
2026-01-01,4,commons,desktop,105373,2913.0,6802.0,11014.0,0.027644652804798192,0.06455164036328091,0.10452392927979653
2026-01-01,4,commons,mobile,44843,1187.0,3070.0,6267.0,0.026470129117142027,0.06846107530718283,0.1397542537296791
2026-01-01,4,en,desktop,2218348,150132.0,200849.0,262612.0,0.06767738875956342,0.09053989725687764,0.11838178680711953
2026-01-01,4,en,mobile,7148640,94229.0,344251.0,801308.0,0.013181388347993464,0.048156152778710354,0.11209237001723404
